Merk,Jenis ,Model,Varian,Harga,Transmisi,Kapasitas Silinder (cc),Kapasitras Penumpang,Jenis Bahan Bakar,Konsumsi Bahan Bakar,Jumlah Silinder,BH(3.5-7),BCC(1200-1800),BP(3-7),BKB(11-18.5),Image
DAIHATSU,Hatchback,Ayla,1.2 R DLX MC,148550000,MT,1197,5,Bensin,21.0,4,Murah,Rendah,Sedang,Irit,ayla.png
DAIHATSU,Hatchback,Sirion,STD E4,207800000,MT,1329,5,Bensin,12.8,4,Murah,Sedang,Sedang,Sedang,sirion.jpg
DAIHATSU,Hatchback,Sirion,STD MC E4,223100000,AT,1329,5,Bensin,12.8,4,Murah,Sedang,Sedang,Sedang,sirion.jpg
DAIHATSU,MPV,Sigra,1.2 X DLX MC,158700000,AT,1197,7,Bensin,26.3,4,Murah,Rendah,Banyak,Irit,sigra.jpg
DAIHATSU,MPV,Xenia,R 1.3 STD,205200000,AT,1329,7,Bensin,9.0,4,Murah,Sedang,Banyak,Boros,xenia.png
DAIHATSU,Pick Up,Gran Max,PU 1.3 STD FH E3,146400000,MT,1298,2,Bensin,14.3,4,Murah,Sedang,Sedikit,Sedang,granmax.png
DAIHATSU,SUV,Rocky,1.2 X,208800000,AT,1198,5,Bensin,18.0,3,Murah,Rendah,Sedang,Sedang,rocky.png
DAIHATSU,SUV,Terios,R IDS,234500000,MT,1496,7,Bensin,12.5,4,Murah,Sedang,Banyak,Sedang,terios-r.jpg
DAIHATSU,SUV,Terios,X DLX IDS,224300000,AT,1496,7,Bensin,12.5,4,Murah,Sedang,Banyak,Sedang,terios-x.png
DAIHATSU,Van,Luxio,1.5 D MC E4,194300000,MT,1495,8,Bensin,10.1,4,Murah,Sedang,Banyak,Boros,luxio.jpg
HONDA,Hatchback,Brio,New RS,198200000,AT,1199,5,Bensin,31.0,4,Murah,Rendah,Sedang,Irit,brio-rs.jpg
HONDA,Hatchback,Brio,New RS,183300000,MT,1199,5,Bensin,30.0,4,Murah,Rendah,Sedang,Irit,brio-rs.jpg
HONDA,Hatchback,Brio,Satya E,175400000,AT,1199,5,Bensin,16.9,4,Murah,Rendah,Sedang,Sedang,brio-satya.jpg
HONDA,Hatchback,Brio,Satya S,151400000,MT,1199,5,Bensin,16.9,4,Murah,Rendah,Sedang,Sedang,brio-satya.jpg
HONDA,Hatchback,City,RS Hatchback,302000000,AT,1598,5,Bensin,24.8,4,Murah,Sedang,Sedang,Irit,city.jpg
HONDA,Hatchback,City,RS Hatchback,292000000,MT,1598,5,Bensin,24.8,4,Murah,Sedang,Sedang,Irit,city.jpg
HONDA,Hatchback,Civic,Hatchback RS,512800000,AT,1598,5,Bensin,14.0,4,Sedang,Sedang,Sedang,Sedang,civic-h.jpg
HONDA,Hatchback,HR-V,1.5 L S,294700000,MT,1497,5,Bensin,18.0,4,Murah,Sedang,Sedang,Sedang,hrv-l.png
HONDA,Hatchback,HR-V,1.8 L Prestige,409800000,AT,1799,5,Bensin,11.5,4,Sedang,Sedang,Sedang,Boros,hrv-prestige.jpg
HONDA,MPV,BR-V,All New,302100000,AT,1497,7,Bensin,21.0,4,Murah,Sedang,Banyak,Irit,brv.jpg
HONDA,MPV,Mobilio,S,197600000,MT,1496,7,Bensin,22.8,4,Murah,Sedang,Banyak,Irit,mobilio.png
HONDA,MPV,Odyssey,2.4 L,888000000,AT,2356,7,Bensin,8.3,4,Mahal,Tinggi,Banyak,Boros,odyssey.webp
HONDA,Sedan,Accord,1.5 L,749000000,AT,1497,5,Bensin,12.0,4,Mahal,Sedang,Sedang,Sedang,accord.jpg
HONDA,Sedan,Civic,1.5 L VTEC Turbo,533000000,AT,1498,5,Bensin,20.0,4,Sedang,Sedang,Sedang,Irit,civic-turbo.jpg
HONDA,Sedan,Civic,Type R 6  Speed,1177000000,MT,1996,5,Bensin,14.0,4,Mahal,Tinggi,Sedang,Sedang,civic-r.jpg
HONDA,SUV,CR-V,1.5 L Turbo,500000000,AT,1498,7,Bensin,9.8,4,Sedang,Sedang,Banyak,Boros,crv-turbo.jpg
HONDA,SUV,CR-V,2.0 L i-VTEC,470600000,AT,1997,5,Bensin,16.0,4,Sedang,Tinggi,Sedang,Sedang,crv-vtec.png
MITSUBISHI,MPV,Xpander,Sport,261050000,MT,1499,7,Bensin,10.5,4,Murah,Sedang,Banyak,Boros,xpander-s.jpg
MITSUBISHI,MPV,Xpander,Ultimate,274820000,AT,1499,7,Bensin,10.5,4,Murah,Sedang,Banyak,Boros,xpander-u.jpeg
